location,date,total_cases,new_cases,new_cases_smoothed,new_deaths,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million
Pakistan,2/25/2020,2,2,,,,,0.009,0.009
Pakistan,2/28/2020,4,2,,,,,0.018,0.009
Pakistan,3/18/2020,454,155,62.0,2.0,2.0,0.286,2.055,0.702
Pakistan,3/19/2020,501,47,67.571,1.0,3.0,0.429,2.268,0.213
Pakistan,3/21/2020,776,46,103.286,2.0,5.0,0.714,3.513,0.208
Pakistan,3/22/2020,875,99,105.571,1.0,6.0,0.857,3.961,0.448
Pakistan,3/23/2020,972,97,105.143,1.0,7.0,1.0,4.4,0.439
Pakistan,3/24/2020,1063,91,109.143,1.0,8.0,1.143,4.812,0.412
Pakistan,3/25/2020,1201,138,106.714,1.0,9.0,1.0,5.437,0.625
Pakistan,3/26/2020,1373,172,124.571,2.0,11.0,1.143,6.216,0.779
Pakistan,3/27/2020,1495,122,109.286,1.0,12.0,1.286,6.768,0.552
Pakistan,3/28/2020,1597,102,117.286,2.0,14.0,1.286,7.23,0.462
Pakistan,3/29/2020,1717,120,120.286,7.0,21.0,2.143,7.773,0.543
Pakistan,3/30/2020,1938,221,138.0,5.0,26.0,2.714,8.774,1.0
Pakistan,3/31/2020,2118,180,150.714,1.0,27.0,2.714,9.588,0.815
Pakistan,4/1/2020,2421,303,174.286,7.0,34.0,3.571,10.96,1.372
Pakistan,4/2/2020,2686,265,187.571,6.0,40.0,4.143,12.16,1.2
Pakistan,4/3/2020,2818,132,189.0,1.0,41.0,4.143,12.757,0.598
Pakistan,4/4/2020,3157,339,222.857,6.0,47.0,4.714,14.292,1.535
Pakistan,4/5/2020,3766,609,292.714,6.0,53.0,4.571,17.049,2.757
Pakistan,4/6/2020,4035,269,299.571,4.0,57.0,4.429,18.267,1.218
Pakistan,4/7/2020,4263,228,306.429,4.0,61.0,4.857,19.299,1.032
Pakistan,4/8/2020,4489,226,295.429,4.0,65.0,4.429,20.322,1.023
Pakistan,4/9/2020,4695,206,287.0,1.0,66.0,3.714,21.255,0.933
Pakistan,4/10/2020,5011,316,313.286,20.0,86.0,6.429,22.685,1.431
Pakistan,4/11/2020,5230,219,296.143,5.0,91.0,6.286,23.677,0.991
