total_cas,new_cas,stringency,popul,med_age,aged_65,aged_70,poverty,expectancy,hospital_beds,sanitizer_facil
2,2,19.44,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
2,0,19.44,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
2,0,28.7,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
4,2,28.7,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
4,0,28.7,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
4,0,28.7,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
5,1,28.7,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
5,0,28.7,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
5,0,28.7,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
6,1,28.7,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
6,0,28.7,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
6,0,28.7,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
6,0,28.7,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
16,10,28.7,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
19,3,28.7,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
20,1,28.7,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
28,8,28.7,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
31,3,52.78,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
53,22,52.78,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
136,83,52.78,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
236,100,52.78,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
299,63,52.78,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
454,155,52.78,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
501,47,52.78,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
730,229,52.78,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
776,46,55.56,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
875,99,55.56,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
972,97,85.19,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
1063,91,93.52,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
1201,138,93.52,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
1373,172,96.3,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
1495,122,96.3,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
1597,102,96.3,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
1717,120,96.3,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
1938,221,96.3,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
2118,180,96.3,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
2421,303,96.3,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
2686,265,96.3,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
2818,132,96.3,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
3157,339,96.3,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
3766,609,96.3,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
4035,269,96.3,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
4263,228,96.3,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
4489,226,96.3,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
4695,206,96.3,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
5011,316,96.3,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
5230,219,96.3,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
5496,266,96.3,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
5837,341,96.3,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
6383,546,96.3,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
6919,536,92.59,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
7025,106,92.59,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
7638,613,92.59,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
8348,710,92.59,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
8418,70,92.59,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
9565,1147,92.59,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
10076,511,92.59,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
11155,1079,92.59,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
11940,785,92.59,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
12723,783,89.81,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
13328,605,89.81,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
13915,587,89.81,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
14612,697,89.81,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
15525,913,89.81,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
